"Feature","Importance"
"home_team","0.14753198623657227"
"away_team","0.14682145416736603"
"Home Total Goals Scored","0.24933701753616333"
"Away Total Goals Scored","0.519858181476593"
"Home Goals Conceded","0.6856369376182556"
"Away Goals Conceded","0.3036971390247345"
"Home Total Points","0.608917772769928"
"Away Total Points","0.929650604724884"
"Cumulative_Home_Wins","0.2582531273365021"
"Cumulative_Home_Draws","0.5323478579521179"
"Cumulative_Home_Losses","0.5710265040397644"
"Cumulative_Away_Wins","0.337047815322876"
"Cumulative_Away_Draws","0.4774515628814697"
"Cumulative_Away_Losses","0.46406474709510803"
"home_team","0.1455915868282318"
"away_team","0.12507881224155426"
"Home Total Goals Scored","0.29082128405570984"
"Away Total Goals Scored","0.5640553832054138"
"Home Goals Conceded","0.5407606959342957"
"Away Goals Conceded","0.47974956035614014"
"Home Total Points","0.4809495210647583"
"Away Total Points","0.8205029964447021"
"Cumulative_Home_Wins","0.26822662353515625"
"Cumulative_Home_Draws","0.47691377997398376"
"Cumulative_Home_Losses","0.4829808473587036"
"Cumulative_Away_Wins","0.3117643892765045"
"Cumulative_Away_Draws","0.39054712653160095"
"Cumulative_Away_Losses","0.29414495825767517"